"event_id","gene","event_type","state1","state2","n_cells_state1","n_cells_state2","mean_psi_state1","mean_psi_state2","delta_psi","pvalue","padj"
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Tumor_AC","T cell",405,1663,0.121250754220382,0.0259579571468389,-0.0952927970735436,2.81546213336655e-42,3.06522087100391e-40
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_MES",28,173,0.00714285714285714,0.988714560968896,0.981571703826039,3.0434743046736e-40,3.20991430571044e-38
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Tumor_AC","Tumor_NPC",459,200,0.748927494348064,0.270211273769019,-0.478716220579045,4.61362751534704e-39,4.71848268615039e-37
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Macrophage","Tumor_AC",1100,405,0.0211763523275958,0.121250754220382,0.100074401892787,1.17298475204771e-38,1.16435986416501e-36
"chr5:83541948:83542268:+@chr5:83544965:83545070:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_OPC_N",226,55,0,0.606263592866464,0.606263592866464,1.46936728228259e-38,1.41688987934392e-36
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_AC",28,153,0.00714285714285714,0.989832970225127,0.98269011308227,2.59388421950423e-38,2.43176645578521e-36
"chr8:27614655:27614690|27611601:27611751:-@chr8:27610475:27610600","CLU","AFE","Tumor_OPC_N","Tumor_MES",708,2638,0.163846021391583,0.0125136672096741,-0.151332354181909,4.40757116499967e-38,4.0204196437497e-36
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","MXE","Macrophage","Tumor_Cycling",94,76,0.00740216433754248,0.972115453188945,0.964713288851402,5.99123681178428e-37,5.3211642736242e-35
"chr21:26000015:26000182:-@chr21:25997360:25997416:-@chr21:25982344:25982477","APP","SE","Tumor_MES","Oligodendrocyte",590,303,0.295975221081404,0.0479258713052997,-0.248049349776105,7.10379246816592e-36,6.14751271283589e-34
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Tumor_OPC_N","Tumor_Cycling",1061,1163,0.0975166944349072,0.0117313183023212,-0.085785376132586,1.37572680502487e-35,1.16076949173973e-33
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_Cycling",11,178,0.893006993006993,0.000702247191011236,-0.892304745815982,1.46575431934506e-35,1.20656605555843e-33
"chr22:37676856:37677065:+@chr22:37678483:37678654:+@chr22:37679603:37679640","LGALS1","SE","Macrophage","T cell",1172,1324,0.990370295164172,0.999164972804406,0.00879467764023445,3.35131867003603e-34,2.69302393127895e-32
"chr13:30462538:30462712:-@chr13:30461496:30461688|30460907:30461533","HMGB1","ALE","Tumor_Cycling","T cell",73,127,0.141973009866845,0.964963455993388,0.822990446126543,4.1627732351086e-33,3.26729294616082e-31
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Oligodendrocyte","Tumor_NPC",342,200,0.706259368171757,0.270211273769019,-0.436048094402738,3.53965583832696e-32,2.71507692144398e-30
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Tumor_MES","T cell",862,1663,0.0640799848936102,0.0259579571468389,-0.0381220277467713,6.09014974173815e-31,4.56761230630361e-29
"chr21:26000015:26000182:-@chr21:25997360:25997416:-@chr21:25982344:25982477","APP","SE","Tumor_OPC_N","Tumor_MES",800,590,0.124828406950043,0.295975221081404,0.171146814131361,8.47248117647646e-31,6.2162226023061e-29
"chr4:87529045:87529372:-@chr4:87528555:87528614:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_MES","Astrocyte",1178,108,0.000296091195764388,0.00110326541562019,0.000807174219855805,1.19746027008855e-30,8.59878385435929e-29
"chr4:87529045:87529457:-@chr4:87504822:87504923:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_OPC_N","Astrocyte",639,151,0.042956833353842,0.042324358262979,-0.000632475090863033,1.2347901569582e-30,8.68211829111237e-29
"chr4:87979199:87980126:+@chr4:87980393:87980434:+@chr4:87981475:87981678","SPP1","SE","Macrophage","Tumor_MES",3196,702,0.756173267734574,0.808517770871741,0.0523445031371664,5.23693675574256e-29,3.60707378584309e-27
"chr21:25911741:25911962:-@chr21:25905024:25905077:-@chr21:25897573:25897673","APP","SE","Macrophage","Tumor_OPC_N",26,627,0.576923076923077,0.995631274563602,0.418708197640525,8.23888773925689e-29,5.5612492239984e-27
"chr13:30462538:30462712:-@chr13:30461496:30461688|30460907:30461533","HMGB1","ALE","Tumor_OPC_OL","T cell",51,127,0.077526395173454,0.964963455993388,0.887437060819934,1.71780823118804e-28,1.13678485887444e-26
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Macrophage","Tumor_MES",1100,862,0.0211763523275958,0.0640799848936102,0.0429036325660144,4.83017073950165e-28,3.08919296665518e-26
"chr21:25911741:25911962:-@chr21:25905024:25905077:-@chr21:25897573:25897673","APP","SE","Macrophage","Tumor_AC",26,331,0.576923076923077,0.998560576207365,0.421637499284288,4.85117710319184e-28,3.08919296665518e-26
"chr5:150405085:150405180:-@chr5:150403121:150404767:-@chr5:150402563:150402625","CD74","SE","Macrophage","T cell",2484,860,0.997258124928137,0.999978060552874,0.00271993562473705,1.03440288568573e-27,6.46501803553584e-26
"chr4:87980046:87980126:+@chr4:87980393:87980688|87981475:87981761","SPP1","ALE","Macrophage","Tumor_MES",3297,774,0.743698965975589,0.795660772639976,0.0519618066643862,9.0547597059559e-27,5.55632981956385e-25
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_Cycling",28,86,0.00714285714285714,0.994089518548219,0.986946661405362,4.49633232319483e-25,2.70984314121117e-23
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","T cell","Astrocyte",113,158,0.00442477876106195,0.0148062808925777,0.0103815021315158,3.50634118645922e-24,2.0761230709298e-22
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Tumor_Cycling","Tumor_AC",1163,405,0.0117313183023212,0.121250754220382,0.109519435918061,1.11168471334366e-23,6.46885501299115e-22
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Tumor_OPC_N","Tumor_AC",1105,459,0.53616615125976,0.748927494348064,0.212761343088304,1.71622337610673e-23,9.81737948196645e-22
"chr13:30462538:30462712:-@chr13:30461496:30461688|30460907:30461533","HMGB1","ALE","Neuron","T cell",48,127,0.293408959647459,0.964963455993388,0.671554496345929,1.94076938443726e-23,1.09168277874596e-21
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Tumor_OPC_OL","T cell",516,1663,0.0559754406722583,0.0259579571468389,-0.0300174835254195,6.3261797241176e-23,3.50014042113064e-21
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Macrophage","Tumor_OPC_OL",1100,516,0.0211763523275958,0.0559754406722583,0.0347990883446625,1.67267149285973e-22,9.10526820709935e-21
"chr13:30462538:30462712:-@chr13:30461496:30461688|30460907:30461533","HMGB1","ALE","T cell","Astrocyte",127,25,0.964963455993388,0.000714285714285714,-0.964249170279103,2.31349074553926e-22,1.23937004225318e-20
"chr4:87529045:87529457:-@chr4:87504822:87504923:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_OPC_N","Tumor_AC",639,1346,0.042956833353842,0.0617373069213588,0.0187804735675167,5.24065543923109e-22,2.76362689178202e-20
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Tumor_AC","Neuron",321,14,0,0.285714285714286,0.285714285714286,7.0762686802926e-22,3.67421643015193e-20
"chr21:26000015:26000182:-@chr21:25997360:25997416:-@chr21:25982344:25982477","APP","SE","Oligodendrocyte","Fibroblast",303,64,0.0479258713052997,0.320185994868689,0.272260123563389,3.07374327707708e-21,1.57180053941441e-19
"chr21:25911741:25911962:-@chr21:25905024:25905077:-@chr21:25897573:25897673","APP","SE","Macrophage","Oligodendrocyte",26,243,0.576923076923077,0.996098551654107,0.41917547473103,4.06942654030851e-21,2.04989769754347e-19
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","Tumor_OPC_N","Tumor_MES",737,2648,0.199185772468159,0.0215289668489311,-0.177656805619228,7.16671811170495e-21,3.55701082750062e-19
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Tumor_NPC","Fibroblast",200,57,0.270211273769019,0.912628080302302,0.642416806533283,9.99417687855215e-21,4.88845608190051e-19
"chr22:37676856:37677065:+@chr22:37678483:37678654:+@chr22:37679603:37679640","LGALS1","SE","Tumor_MES","T cell",1202,1324,0.994455767581212,0.999164972804406,0.00470920522319451,1.18240277072639e-20,5.70087050171654e-19
"chr4:87529045:87529372:-@chr4:87528555:87528614:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_OPC_N","Astrocyte",627,108,0.0013766808123181,0.00110326541562019,-0.000273415396697906,1.76427841439131e-20,8.38653471629673e-19
"chr8:27614655:27614690|27611601:27611751:-@chr8:27610475:27610600","CLU","AFE","Tumor_OPC_N","Oligodendrocyte",708,317,0.163846021391583,0.0177863725889398,-0.146059648802643,2.55536100654427e-20,1.19782547181763e-18
"chr8:27614655:27614690|27611601:27611751:-@chr8:27610475:27610600","CLU","AFE","Oligodendrocyte","Tumor_AC",317,1738,0.0177863725889398,0.0597189029365793,0.0419325303476395,4.46299464513311e-20,2.06337081196223e-18
"chr4:87529045:87529372:-@chr4:87528555:87528614:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_AC","Astrocyte",1240,108,0.000898191602981115,0.00110326541562019,0.000205073812639077,9.40336831298401e-20,4.28869838598933e-18
"chr13:30462538:30462712:-@chr13:30461496:30461688|30460907:30461533","HMGB1","ALE","unassigned","T cell",20,127,0.0396153846153846,0.964963455993388,0.925348071378004,9.69420239723706e-20,4.36239107875667e-18
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Tumor_OPC_OL","Neuron",510,14,0.00116085225164353,0.285714285714286,0.284553433462642,1.5942738748502e-19,7.07983464160451e-18
"chr13:30462538:30462712:-@chr13:30461639:30461688:-@chr13:30460895:30461533","HMGB1","SE","Tumor_Cycling","T cell",63,45,0.0914727382180943,0.928697570015399,0.837224831797305,2.12431339069702e-18,9.31111388779536e-17
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Macrophage","Neuron",1100,283,0.0211763523275958,0.0336978735400017,0.0125215212124059,2.75296751216537e-18,1.19118786584079e-16
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Tumor_OPC_N","Tumor_NPC",1105,200,0.53616615125976,0.270211273769019,-0.265954877490741,4.71378189990942e-18,2.01379922939168e-16
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","Tumor_MES","Astrocyte",2648,158,0.0215289668489311,0.0148062808925777,-0.00672268595635337,8.87818896726913e-18,3.74548597056666e-16
"chr13:30462538:30462712:-@chr13:30461639:30461688:-@chr13:30460895:30461533","HMGB1","SE","Tumor_OPC_OL","T cell",46,45,0.0217391304347826,0.928697570015399,0.906958439580617,2.1188494666279e-17,8.82853944428294e-16
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Tumor_MES","Neuron",384,14,0.00354166666666667,0.285714285714286,0.282172619047619,2.52853258449965e-17,1.04070700886419e-15
"chr21:25911741:25911962:-@chr21:25905024:25905077:-@chr21:25897573:25897673","APP","SE","Macrophage","Tumor_MES",26,348,0.576923076923077,0.997880224753862,0.420957147830785,3.0495854048914e-17,1.24004225801307e-15
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Neuron","T cell",283,1663,0.0336978735400017,0.0259579571468389,-0.00773991639316284,4.71560533070456e-17,1.89466285608665e-15
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Tumor_OPC_N","Fibroblast",1163,13,0.000527917673231517,0.0628618693134822,0.0623339516402507,7.2359429395878e-17,2.87309499071869e-15
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Tumor_Cycling","Tumor_NPC",199,200,0.623104900894933,0.270211273769019,-0.352893627125914,1.12301370565097e-16,4.40717587973493e-15
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","Macrophage","Astrocyte",89,158,0.0208321530859535,0.0148062808925777,-0.00602587219337577,1.16232792959681e-16,4.50903076136694e-15
"chr4:87529045:87529457:-@chr4:87504822:87504923:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_OPC_OL","Astrocyte",351,151,0.0549950045823912,0.042324358262979,-0.0126706463194123,2.64871343229111e-16,1.01584179931619e-14
"chr21:26000015:26000182:-@chr21:25997360:25997416:-@chr21:25982344:25982477","APP","SE","Tumor_MES","Tumor_AC",590,465,0.295975221081404,0.156264719996494,-0.13971050108491,3.72366877859049e-16,1.41206540761156e-14
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Tumor_MES","Tumor_OPC_OL",538,187,0.82172569450506,0.520998188603181,-0.300727505901878,3.87476520546778e-16,1.45303695205042e-14
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","Tumor_AC","T cell",1742,113,0.0807655934561635,0.00442477876106195,-0.0763408146951016,1.00412249713954e-15,3.7240806899406e-14
"chr4:87979199:87980126:+@chr4:87980393:87980434:+@chr4:87981475:87981678","SPP1","SE","Tumor_MES","Oligodendrocyte",702,800,0.808517770871741,0.73652539367026,-0.0719923772014813,2.18979406356209e-15,8.03321191795875e-14
"chr5:83512103:83512396:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_OPC_N",122,14,0.925223323940059,0.00892857142857143,-0.916294752511488,4.00178690337731e-15,1.45226137622564e-13
"chr4:87529045:87529457:-@chr4:87504822:87504923:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_OPC_N","Tumor_MES",639,1176,0.042956833353842,0.0733865311023929,0.0304296977485509,4.93149802672336e-15,1.77061764257355e-13
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Tumor_MES","Tumor_Cycling",862,1163,0.0640799848936102,0.0117313183023212,-0.052348666591289,5.27447953410032e-15,1.87382825553564e-13
"chr22:37676856:37677065:+@chr22:37678483:37678654:+@chr22:37679603:37679640","LGALS1","SE","Tumor_Cycling","T cell",314,1324,0.995917462389405,0.999164972804406,0.00324751041500104,7.56892678854296e-15,2.66095082409713e-13
"chr4:87529045:87529457:-@chr4:87504822:87504923:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_Cycling","Astrocyte",312,151,0.0543335408110395,0.042324358262979,-0.0120091825480605,8.57504251831911e-15,2.98358438137392e-13
"chr8:27614655:27614690|27611601:27611751:-@chr8:27610475:27610600","CLU","AFE","Tumor_OPC_N","Tumor_Cycling",708,359,0.163846021391583,0.0277704152502013,-0.136075606141382,1.05426037194458e-14,3.63074362787037e-13
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Macrophage","Tumor_NPC",33,200,0.939393939393939,0.270211273769019,-0.66918266562492,1.1346059258519e-14,3.8679747472224e-13
"chr4:87529045:87529372:-@chr4:87528555:87528614:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_OPC_OL","Astrocyte",341,108,0,0.00110326541562019,0.00110326541562019,1.55844945487727e-14,5.25976691021077e-13
"chr4:87980046:87980126:+@chr4:87980393:87980688|87981475:87981761","SPP1","ALE","Tumor_MES","Oligodendrocyte",774,842,0.795660772639976,0.726534322033309,-0.0691264506066671,2.39241355981823e-14,7.99445125186785e-13
"chr8:27614655:27614690|27611110:27611205:-@chr8:27610475:27610600","CLU","AFE","Tumor_OPC_N","Tumor_MES",616,2634,0.0444623745963032,0.00199669339304075,-0.0424656812032624,2.61105296280671e-14,8.63951347987514e-13
"chr4:87499521:87499585:-@chr4:87495127|87495143:87494981","SPARCL1","A3SS","Tumor_OPC_N","Astrocyte",783,158,0.00202853877989994,0.00211038591706458,8.18471371646337e-05,2.94890363540174e-14,9.66266967910764e-13
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","Tumor_OPC_OL","Astrocyte",465,158,0.064582366535594,0.0148062808925777,-0.0497760856430163,3.34508105173986e-14,1.08554312977135e-12
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","Tumor_NPC","Astrocyte",286,158,0.0752683281534668,0.0148062808925777,-0.0604620472608891,3.87369020428124e-14,1.24511470851897e-12
"chr13:30462538:30462712:-@chr13:30461496:30461688|30460907:30461533","HMGB1","ALE","Oligodendrocyte","T cell",16,127,0.125,0.964963455993388,0.839963455993388,8.13684782772552e-14,2.59074164326166e-12
"chr8:27614655:27614690|27611601:27611751:-@chr8:27610475:27610600","CLU","AFE","Tumor_Cycling","Tumor_AC",359,1738,0.0277704152502013,0.0597189029365793,0.031948487686378,8.98294560920155e-14,2.83340574122012e-12
"chr4:87977059:87977097:+@chr4:87977662:87977859:+@chr4:87980046:87980126","SPP1","SE","Macrophage","Neuron",2126,74,0.0906721421800996,0.000587544065804935,-0.0900845981142947,1.28617722393727e-13,4.01930382480395e-12
"chr4:87529045:87529372:-@chr4:87528555:87528614:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_Cycling","Astrocyte",315,108,0,0.00110326541562019,0.00110326541562019,1.44019663892282e-13,4.44998493142631e-12
"chr8:27614655:27614690|27611601:27611751:-@chr8:27610475:27610600","CLU","AFE","Tumor_OPC_N","Tumor_OPC_OL",708,465,0.163846021391583,0.0493330332711918,-0.114512988120391,1.45036545913154e-13,4.44998493142631e-12
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","Tumor_OPC_OL","Tumor_AC",465,1742,0.064582366535594,0.0807655934561635,0.0161832269205696,2.2093709020282e-13,6.71768179670736e-12
"chr13:30462538:30462712:-@chr13:30461496:30461688|30460907:30461533","HMGB1","ALE","Tumor_MES","T cell",16,127,0.289724099099099,0.964963455993388,0.675239356894289,3.06357262063401e-13,9.23174785235694e-12
"chr21:26000015:26000182:-@chr21:25997360:25997416:-@chr21:25982344:25982477","APP","SE","Oligodendrocyte","Neuron",303,30,0.0479258713052997,0.360201424088448,0.312275552783148,3.48656734909044e-13,1.04134201798055e-11
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","Tumor_OPC_N","T cell",737,113,0.199185772468159,0.00442477876106195,-0.194760993707097,4.49966850621467e-13,1.33213870249776e-11
"chr5:83541948:83542268:+@chr5:83544965:83545070:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_Cycling",226,22,0,0.186106346483705,0.186106346483705,5.23887629750544e-13,1.53749630470268e-11
"chr13:30462538:30462712:-@chr13:30461639:30461688:-@chr13:30460895:30461533","HMGB1","SE","T cell","Astrocyte",45,24,0.928697570015399,0,-0.928697570015399,5.42855190599843e-13,1.57942781747799e-11
"chr13:30462538:30462712:-@chr13:30461639:30461688:-@chr13:30460895:30461533","HMGB1","SE","Neuron","T cell",40,45,0.218001669777411,0.928697570015399,0.710695900237988,6.58623471303603e-13,1.89987539799116e-11
"chr5:150404680:150404767:-@chr5:150403121:150403312:-@chr5:150402563:150402625","CD74","SE","Macrophage","Tumor_MES",3861,189,0.222463896978538,0.171543859342216,-0.0509200376363221,6.78540544828418e-13,1.94074096508128e-11
"chr4:87977059:87977097:+@chr4:87977662:87977859:+@chr4:87980046:87980126","SPP1","SE","Macrophage","Tumor_Cycling",2126,75,0.0906721421800996,0.00407053890738685,-0.0866016032727128,6.99655540354494e-13,1.9843171837785e-11
"chr4:87529045:87529457:-@chr4:87504822:87504923:-@chr4:87499521:87499585","SPARCL1","SE","Tumor_OPC_N","Fibroblast",639,166,0.042956833353842,0.0515829191159169,0.00862608576207489,1.05197701250746e-12,2.95868534767724e-11
