"id","event_type","gene_id","gene_short_name","gene_type","event_name_simple","source_object","gene_column"
"chr5:83471674:83472023:+@chr5:83490098:83490472:+@chr5:83512103:83512396","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76309","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83490098:83490472:+@chr5:83537007:83539684","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76310","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83490098:83490472:+@chr5:83553364:83553522","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76311","splice_feature","gene_short_name"
"chr5:83483513:83483588:+@chr5:83490098:83490472:+@chr5:83512103:83512396","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76312","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83493546:83493720:+@chr5:83512103:83512396","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76313","splice_feature","gene_short_name"
"chr5:83490098:83490472:+@chr5:83493546:83493720:+@chr5:83493804:83493931","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76314","splice_feature","gene_short_name"
"chr5:83490098:83490472:+@chr5:83493546:83493720:+@chr5:83512103:83512396","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76315","splice_feature","gene_short_name"
"chr5:83490098:83490472:+@chr5:83493804:83493931:+@chr5:83512103:83512396","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76316","splice_feature","gene_short_name"
"chr5:83490098:83490472:+@chr5:83493804:83493931:+@chr5:83537007:83539684","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76317","splice_feature","gene_short_name"
"chr5:83493546:83493720:+@chr5:83493804:83493931:+@chr5:83512103:83512396","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76318","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83512103:83512396:+@chr5:83519349:83522309","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76319","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83512103:83512396:+@chr5:83537007:83539684","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76320","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83512103:83512396:+@chr5:83553364:83553522","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76321","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83512103:83512396:+@chr5:83554956:83555038","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76322","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83512103:83512396:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76323","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83512103:83512396:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76324","splice_feature","gene_short_name"
"chr5:83483513:83483588:+@chr5:83512103:83512396:+@chr5:83545537:83545650","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76325","splice_feature","gene_short_name"
"chr5:83483513:83483588:+@chr5:83512103:83512396:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76326","splice_feature","gene_short_name"
"chr5:83490098:83490472:+@chr5:83512103:83512396:+@chr5:83537007:83539684","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76327","splice_feature","gene_short_name"
"chr5:83490098:83490472:+@chr5:83512103:83512396:+@chr5:83553364:83553522","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76328","splice_feature","gene_short_name"
"chr5:83493804:83493931:+@chr5:83512103:83512396:+@chr5:83519349:83522309","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76329","splice_feature","gene_short_name"
"chr5:83493804:83493931:+@chr5:83512103:83512396:+@chr5:83537007:83539684","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76330","splice_feature","gene_short_name"
"chr5:83493804:83493931:+@chr5:83512103:83512396:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76331","splice_feature","gene_short_name"
"chr5:83493804:83493931:+@chr5:83512103:83512396:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76332","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83519349:83522309:+@chr5:83537007:83542268","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76333","splice_feature","gene_short_name"
"chr5:83493804:83493931:+@chr5:83519349:83522309:+@chr5:83537007:83542268","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76334","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83537007:83542268","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76335","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83545537:83545650","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76336","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83547971:83548084","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76337","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83537007:83542268:+@chr5:83553364:83553522","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76338","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83537007:83542268:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76339","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83537007:83542268:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76340","splice_feature","gene_short_name"
"chr5:83490098:83490472:+@chr5:83537007:83542268:+@chr5:83553364:83553522","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76341","splice_feature","gene_short_name"
"chr5:83493804:83493931:+@chr5:83537007:83542268:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76342","splice_feature","gene_short_name"
"chr5:83493804:83493931:+@chr5:83537007:83542268:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76343","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83537007:83542268:+@chr5:83545537:83545650","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76344","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83537007:83542268:+@chr5:83547971:83548084","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76345","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83537007:83542268:+@chr5:83553364:83553522","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76346","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83537007:83542268:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76347","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83537007:83542268:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76348","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83537007:83542268:+@chr5:83580307:83582302","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76349","splice_feature","gene_short_name"
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76350","splice_feature","gene_short_name"
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83547971:83548084","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76351","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83544965:83545070:+@chr5:83545537:83545650","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76352","splice_feature","gene_short_name"
"chr5:83541948:83542268:+@chr5:83544965:83545070:+@chr5:83545537:83545650","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76353","splice_feature","gene_short_name"
"chr5:83483513:83483588:+@chr5:83545537:83545650:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76354","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83545537:83545650:+@chr5:83547971:83548084","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76355","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83545537:83545650:+@chr5:83553364:83553474","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76356","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83545537:83545650:+@chr5:83554956:83555038","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76357","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83545537:83545650:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76358","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83545537:83545650:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76359","splice_feature","gene_short_name"
"chr5:83519349:83522309:+@chr5:83545537:83545650:+@chr5:83547971:83548084","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76360","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83545537:83545650:+@chr5:83547971:83548084","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76361","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83545537:83545650:+@chr5:83553364:83553474","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76362","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83545537:83545650:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76363","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83545537:83545650:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76364","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83547971:83548084:+@chr5:83553364:83553474","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76365","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83547971:83548084:+@chr5:83554956:83555038","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76366","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83547971:83548084:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76367","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83547971:83548084:+@chr5:83553364:83553474","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76368","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83547971:83548084:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76369","splice_feature","gene_short_name"
"chr5:83545537:83545650:+@chr5:83547971:83548084:+@chr5:83553364:83553474","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76370","splice_feature","gene_short_name"
"chr5:83545537:83545650:+@chr5:83547971:83548084:+@chr5:83554956:83555038","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76371","splice_feature","gene_short_name"
"chr5:83545537:83545650:+@chr5:83547971:83548084:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76372","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83553364:83553522:+@chr5:83554956:83555038","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76373","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83553364:83553522:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76374","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83553364:83553522:+@chr5:83554956:83555038","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76375","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83553364:83553522:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76376","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83553364:83553522:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76377","splice_feature","gene_short_name"
"chr5:83545537:83545650:+@chr5:83553364:83553522:+@chr5:83554956:83555038","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76378","splice_feature","gene_short_name"
"chr5:83545537:83545650:+@chr5:83553364:83553522:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76379","splice_feature","gene_short_name"
"chr5:83547971:83548084:+@chr5:83553364:83553522:+@chr5:83554956:83555038","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76380","splice_feature","gene_short_name"
"chr5:83547971:83548084:+@chr5:83553364:83553522:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76381","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83554956:83555038:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76382","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83554956:83555038:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76383","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83554956:83555038:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76384","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83554956:83555038:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76385","splice_feature","gene_short_name"
"chr5:83545537:83545650:+@chr5:83554956:83555038:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76386","splice_feature","gene_short_name"
"chr5:83545537:83545650:+@chr5:83554956:83555038:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76387","splice_feature","gene_short_name"
"chr5:83547971:83548084:+@chr5:83554956:83555038:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76388","splice_feature","gene_short_name"
"chr5:83553362:83553522:+@chr5:83554956:83555038:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76389","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83572416:83572560:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76390","splice_feature","gene_short_name"
"chr5:83493804:83493931:+@chr5:83572416:83572560:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76391","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83572416:83572560:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76392","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83572416:83572560:+@chr5:83580307:83580448","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76393","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83572416:83572560:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76394","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83572416:83572560:+@chr5:83580307:83580448","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76395","splice_feature","gene_short_name"
"chr5:83545537:83545650:+@chr5:83572416:83572560:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76396","splice_feature","gene_short_name"
"chr5:83554956:83555038:+@chr5:83572416:83572560:+@chr5:83579980:83580162","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76397","splice_feature","gene_short_name"
"chr5:83512103:83512396:+@chr5:83579980:83580162:+@chr5:83580307:83580448","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76398","splice_feature","gene_short_name"
"chr5:83535614:83542268:+@chr5:83579980:83580162:+@chr5:83580307:83580448","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76399","splice_feature","gene_short_name"
"chr5:83572416:83572560:+@chr5:83579980:83580162:+@chr5:83580307:83580448","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76400","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136978993:136979132:+@chr9:136979223:136979299","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188573","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136978993:136979132:+@chr9:136979946:136980062","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188574","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136979223:136979299:+@chr9:136979946:136980062","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188575","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136979223:136979299:+@chr9:136980183:136980284","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188576","splice_feature","gene_short_name"
"chr9:136978812:136979132:+@chr9:136979223:136979299:+@chr9:136979946:136980062","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188577","splice_feature","gene_short_name"
"chr9:136977505:136977692:+@chr9:136979223:136979401:+@chr9:136979946:136980062","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188578","splice_feature","gene_short_name"
"chr9:136977505:136977692:+@chr9:136979223:136979401:+@chr9:136980183:136980219","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188579","splice_feature","gene_short_name"
"chr9:136978993:136979132:+@chr9:136979223:136979401:+@chr9:136979946:136980062","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188580","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136979946:136980062:+@chr9:136980183:136980219","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188581","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136979946:136980062:+@chr9:136980833:136980855","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188582","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136979946:136980062:+@chr9:136981579:136981692","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188583","splice_feature","gene_short_name"
"chr9:136979223:136979299:+@chr9:136979946:136980062:+@chr9:136980183:136980219","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188584","splice_feature","gene_short_name"
"chr9:136979223:136979401:+@chr9:136979946:136980062:+@chr9:136980183:136980219","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188585","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136980183:136980284:+@chr9:136980833:136980855","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188586","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136980183:136980284:+@chr9:136981579:136981692","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188587","splice_feature","gene_short_name"
"chr9:136979946:136980062:+@chr9:136980183:136980284:+@chr9:136980811:136980855","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188588","splice_feature","gene_short_name"
"chr9:136979946:136980062:+@chr9:136980183:136980284:+@chr9:136980833:136980855","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188589","splice_feature","gene_short_name"
"chr9:136979946:136980062:+@chr9:136980183:136980284:+@chr9:136981579:136981692","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188590","splice_feature","gene_short_name"
"chr9:136979946:136980062:+@chr9:136980680:136980855:+@chr9:136981579:136981742","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188591","splice_feature","gene_short_name"
"chr9:136980255:136980284:+@chr9:136980680:136980855:+@chr9:136981579:136981742","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188592","splice_feature","gene_short_name"
"chr9:136979946:136980062:+@chr9:136980811:136980855:+@chr9:136981579:136981737","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188593","splice_feature","gene_short_name"
"chr9:136980183:136980284:+@chr9:136980811:136980855:+@chr9:136981579:136981737","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188594","splice_feature","gene_short_name"
"chr9:136977504:136977692:+@chr9:136980833:136980855:+@chr9:136981579:136981692","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188595","splice_feature","gene_short_name"
"chr9:136979946:136980062:+@chr9:136980833:136980855:+@chr9:136981579:136981692","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188596","splice_feature","gene_short_name"
"chr9:136980183:136980284:+@chr9:136980833:136980855:+@chr9:136981579:136981692","SE","ENSG00000107317.13","PTGDS","protein_coding","PTGDS_SE_id188597","splice_feature","gene_short_name"
"chr19:44905791:44905841:+@chr19:44906587:44906667:+@chr19:44907760:44907952","SE","ENSG00000130203.10","APOE","protein_coding","APOE_SE_id261913","splice_feature","gene_short_name"
"chr19:44905812:44905923:+@chr19:44906587:44906667:+@chr19:44907760:44907952","SE","ENSG00000130203.10","APOE","protein_coding","APOE_SE_id261914","splice_feature","gene_short_name"
"chr19:44905796:44905841:+@chr19:44906602:44906667:+@chr19:44907760:44907952","SE","ENSG00000130203.10","APOE","protein_coding","APOE_SE_id261915","splice_feature","gene_short_name"
